"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"05/02/2023","60","PM2.5","Coconut Creek","12-011-5005","AQS","6","47","28","60","38"
"05/03/2023","56","PM2.5","Daniela Banu NCORE","12-011-0034","AQS","5","48","25","56","32"
"05/04/2023","154","Ozone","Perdue","12-086-0029","AQS","8","154","33","65","41"
"05/05/2023","97","Ozone","Rosenstiel","12-086-0027","AQS","9","97","29","57","63"
"05/06/2023","52","PM2.5","Coconut Creek","12-011-5005","AQS","8","51","26","52","34"
"05/07/2023","48","Ozone","Rosenstiel","12-086-0027","AQS","6","48","20","39","10"
"05/08/2023","49","Ozone","Vista View Park","12-011-0033","AQS","7","49","19","35","42"
"05/09/2023","48","Ozone","Lamstein Lane","12-099-0022","AQS","7","48","19","38","37"
"05/10/2023","54","Ozone","Daniela Banu NCORE","12-011-0034","AQS","7","54","23","52","34"
"05/11/2023","55","PM2.5","Coconut Creek","12-011-5005","AQS","8","38","25","55","30"
"05/12/2023","53","PM2.5","Coconut Creek","12-011-5005","AQS","7","42","27","53","25"
"05/13/2023","59","PM2.5","Coconut Creek","12-011-5005","AQS","10","48","29","59","17"
"05/14/2023","65","PM2.5","Coconut Creek","12-011-5005","AQS","7","46","31","65","27"
"05/15/2023","45","PM2.5","Coconut Creek","12-011-5005","AQS","8","38","21","45","26"
"05/16/2023","84","Ozone","Rosenstiel","12-086-0027","AQS","9","84","23","51","31"
