time,windspeed_10m_max (mp/h),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2022-08-20,10.8,20.31,4.68
2022-08-21,12.4,24.22,5.47
2022-08-22,10.7,23.24,4.90
2022-08-23,7.8,22.33,4.65
2022-08-24,8.6,22.50,4.55
2022-08-25,8.6,19.68,4.07
2022-08-26,7.1,22.90,4.78
2022-08-27,8.0,20.97,4.36
2022-08-28,9.0,14.28,3.11
2022-08-29,11.6,20.97,4.26
2022-08-30,11.5,23.07,5.11
2022-08-31,7.1,20.43,4.26
2022-09-01,8.4,22.27,4.54
2022-09-02,9.9,22.62,4.77
2022-09-03,11.0,22.45,4.98
2022-09-04,9.4,22.49,5.04
2022-09-05,7.8,22.02,4.60
2022-09-06,6.6,23.52,4.93
2022-09-07,7.9,21.57,4.50
2022-09-08,8.7,18.17,3.72
2022-09-09,13.4,17.09,3.63
2022-09-10,11.0,21.04,4.61
2022-09-11,9.9,21.46,4.40
2022-09-12,4.8,19.59,3.93
2022-09-13,7.1,20.44,4.20
2022-09-14,6.7,10.57,2.25
2022-09-15,8.8,17.96,3.63
2022-09-16,8.1,13.41,2.81
2022-09-17,12.3,15.01,3.18
2022-09-18,5.2,16.95,3.42
2022-09-19,8.6,16.87,3.40
2022-09-20,8.7,20.70,4.44
2022-09-21,9.9,20.16,4.23
2022-09-22,7.1,19.42,3.97
2022-09-23,7.0,23.07,4.91
2022-09-24,7.1,18.72,3.85
2022-09-25,8.4,21.04,4.25
2022-09-26,10.8,12.56,2.66
2022-09-27,26.0,5.96,1.77
2022-09-28,31.5,9.75,2.67
2022-09-29,25.9,15.16,3.81
2022-09-30,15.0,20.77,4.27
2022-10-01,7.5,11.29,2.58
2022-10-02,11.9,7.78,2.29
2022-10-03,7.2,19.39,4.10
2022-10-04,8.5,18.55,4.03
2022-10-05,9.5,18.29,3.85
2022-10-06,11.4,18.22,4.10
2022-10-07,12.4,18.93,4.33
2022-10-08,14.5,16.02,3.38
2022-10-09,10.1,12.86,2.73
2022-10-10,8.1,19.23,3.92
2022-10-11,9.2,17.12,3.63
2022-10-12,9.1,17.24,3.49
2022-10-13,11.5,9.37,2.09
2022-10-14,8.2,17.93,3.43
2022-10-15,10.9,16.20,3.26
2022-10-16,11.9,15.20,3.53
2022-10-17,9.5,15.94,3.42
2022-10-18,7.9,15.00,3.17
2022-10-19,13.5,5.71,1.74
2022-10-20,12.1,15.22,3.07
2022-10-21,15.1,13.34,2.86
2022-10-22,14.7,17.18,4.10
2022-10-23,12.5,16.70,4.00
2022-10-24,10.2,16.21,3.69
2022-10-25,10.2,19.15,4.47
2022-10-26,7.1,19.16,3.99
2022-10-27,8.5,17.23,3.60
2022-10-28,12.3,16.19,4.10
2022-10-29,14.5,14.45,3.34
2022-10-30,11.1,15.63,3.70
2022-10-31,9.5,16.07,3.29
2022-11-01,8.3,16.18,3.44
2022-11-02,9.4,14.69,3.13
2022-11-03,10.7,15.67,3.39
2022-11-04,16.6,16.57,4.01
2022-11-05,10.8,15.94,4.01
2022-11-06,16.7,13.82,3.49
2022-11-07,18.8,15.83,4.41
2022-11-08,20.5,14.78,4.16
2022-11-09,23.2,4.01,1.58
2022-11-10,22.1,13.80,3.06
2022-11-11,12.3,14.71,3.12
2022-11-12,6.8,15.11,2.90
2022-11-13,4.4,15.10,2.93
2022-11-14,7.9,14.62,3.14
2022-11-15,8.1,15.63,3.31
2022-11-16,5.7,14.17,2.74
2022-11-17,16.2,11.82,2.46
2022-11-18,15.8,11.36,3.03
2022-11-19,15.9,10.07,3.16
2022-11-20,21.5,9.70,2.06
2022-11-21,19.7,7.33,1.89
2022-11-22,7.8,12.41,2.54
2022-11-23,4.9,13.73,2.60
2022-11-24,7.0,12.90,2.45
2022-11-25,8.4,13.61,2.80
2022-11-26,8.1,13.62,2.75
2022-11-27,9.7,13.01,2.72
2022-11-28,8.1,13.75,2.75
2022-11-29,14.0,14.48,3.43
2022-11-30,12.8,12.77,2.93
2022-12-01,19.0,10.77,2.11
2022-12-02,17.4,13.27,3.63
2022-12-03,17.4,13.67,4.23
2022-12-04,10.4,11.52,3.52
2022-12-05,9.2,11.83,2.75
2022-12-06,10.1,13.76,3.26
2022-12-07,11.2,11.43,2.97
2022-12-08,10.6,11.89,3.27
2022-12-09,8.9,11.17,2.50
2022-12-10,9.0,14.53,3.11
2022-12-11,8.2,15.07,3.19
2022-12-12,8.8,15.29,2.93
2022-12-13,8.8,13.64,2.80
2022-12-14,12.5,12.45,3.37
2022-12-15,17.7,12.91,3.60
2022-12-16,9.3,7.83,1.75
2022-12-17,9.6,6.69,1.48
2022-12-18,14.9,8.80,2.01
2022-12-19,14.6,12.40,3.20
2022-12-20,14.8,9.74,2.87
